AccessionID,AccessionName,HasSeed,User,PopulationName,NumberOfMaternalLines,DateCollected,LocalityName,Latitude,Longitude,Altitude,Datum,Ploidy,StorageLocation,Source,ExternalID,Background,Generation,CountryOfOrigin,Notes,FirstParentID,SecondParentID,FirstParentSex,SecondParentSex
49,Tek10,,,,,,Tekirdag,41.01,27.52,20,,diploid,,Iain Wilson (CSIRO PI),,,,Spain,,,,,
50,Tek11,,,,,,Tekirdag,41.01,27.52,20,,diploid,,Iain Wilson (CSIRO PI),,,,Spain,,,,,
51,Tek12,,,,,,Tekirdag,41.01,27.52,20,,diploid,,Iain Wilson (CSIRO PI),,,,Portugal,,,,,
52,BdTR1a,,,,,,Turkey (various),41.42,27.48,124,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
53,BdTR1b,,,,,,Turkey (various),41.09,26.93,141,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
54,BdTR1c,,,,,,Turkey (various),39.74,28.04,363,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
55,BdTR1d,,,,,,Turkey (various),38.76,28.59,612,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
56,BdTR1e,,,,,,Turkey (various),38.42,28.03,986,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
57,BdTR1f,,,,,,Turkey (various),41.42,27.48,124,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
58,BdTR1g,,,,,,Turkey (various),41.09,26.93,141,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
59,BdTR1h,,,,,,Turkey (various),39.74,28.04,363,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
60,BdTR1i,,,,,,Turkey (various),38.09,28.58,841,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
61,BdTR1j,,,,,,Turkey (various),37.43,28.59,513,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
62,BdTR1k,,,,,,Turkey (various),39.76,29.68,1007,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
63,BdTR1m,,,,,,Turkey (various),39.09,30.25,1076,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
64,BdTR1n,,,,,,Turkey (various),38.10,30.25,1034,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
65,BdTR2a,,,,,,Turkey (various),39.75,30.79,932,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
66,BdTR2b,,,,,,Turkey (various),40.08,31.33,667,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
67,BdTR2c,,,,,,Turkey (various),39.09,31.89,864,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
68,BdTR2d,,,,,,Turkey (various),38.43,31.31,1301,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
69,BdTR2e,,,,,,Turkey (various),38.43,32.40,1012,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
70,BdTR2f,,,,,,Turkey (various),37.78,31.88,1288,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
71,BdTR2g,,,,,,Turkey (various),40.39,32.99,1596,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
