,accession_name,has_seed,population,species_id,collector_id,date_collected,has_seed,locality_name,latitude,longitude,altitude,datum,collection_trip_id,maternal_lines,ploidy,box_id,source,external_id,background,generation,country_origin,notes,lineage_id,accession_data_json
40,Tek-1,,,6,3,27/07/2012,,Tekirdag,41.0111388888889,27.5191111111111,20,,,1,,,Iain Wilson (CSIRO PI),,,,Spain,,,
41,Tek-2,,,6,3,27/07/2012,,Tekirdag,41.0111388888889,27.5191111111111,20,,,1,,,Iain Wilson (CSIRO PI),,,,Spain,,,
42,Tek-3,,,6,3,27/07/2012,,Tekirdag,41.0111388888889,27.5191111111111,20,,,1,,,Iain Wilson (CSIRO PI),,,,Spain,,,
43,Tek-4,,,6,3,27/07/2012,,Tekirdag,41.0111388888889,27.5191111111111,20,,,1,,,Iain Wilson (CSIRO PI),,,,Spain,,,
44,Tek-5,,,6,3,27/07/2012,,Tekirdag,41.0111388888889,27.5191111111111,20,,,1,,,Iain Wilson (CSIRO PI),,,,Spain,,,
45,Tek-6,,,6,3,27/07/2012,,Tekirdag,41.0111388888889,27.5191111111111,20,,,1,,,Iain Wilson (CSIRO PI),,,,,,,
46,Tek-7,,,6,3,27/07/2012,,Tekirdag,41.0111388888889,27.5191111111111,20,,,1,,,Iain Wilson (CSIRO PI),,,,,,,
47,Tek-8,,,6,3,27/07/2012,,Tekirdag,41.0111388888889,27.5191111111111,20,,,1,,,Iain Wilson (CSIRO PI),,,,,,,
48,Tek-9,,,6,3,14/09/2012,,Tekirdag,41.0111388888889,27.5191111111111,20,,,1,,,Richard Poire (CSIRO HRPPC),,,,Spain,seeds from Iain Wilson empty,,
49,Tek-10,,,6,3,27/07/2012,,Tekirdag,41.0111388888889,27.5191111111111,20,,,1,,,Iain Wilson (CSIRO PI),,,,Spain,,,
50,Tek-11,,,6,3,27/07/2012,,Tekirdag,41.0111388888889,27.5191111111111,20,,,0,,,Iain Wilson (CSIRO PI),,,,Spain,,,
